eBird/Clements Name,Macaulay Audio Total,GenBank species,GB_Nucleotide_Seqs
Spizocorys sclateri,3,Spizocorys sclateri,3
Spizocorys starki,2,Spizocorys starki,3
Spodiopsar cineraceus,16,Spodiopsar cineraceus,41
Spodiopsar sericeus,22,Spodiopsar sericeus,20
Spodiornis rusticus,45,Spodiornis rusticus,9
Sporaeginthus formosus,1,Sporaeginthus formosus,2
Sporaeginthus subflavus,9,Sporaeginthus subflavus,4
Sporophila albogularis,6,Sporophila albogularis,6
Sporophila americana,12,Sporophila americana,10
Sporophila angolensis,165,Sporophila angolensis,101
Sporophila ardesiaca,9,Sporophila ardesiaca,0
Sporophila atrirostris,18,Sporophila atrirostris,2
Sporophila beltoni,21,Sporophila beltoni,0
Sporophila bouvreuil,14,Sporophila bouvreuil,126
Sporophila bouvronides,19,Sporophila bouvronides,0
Sporophila caerulescens,152,Sporophila caerulescens,44
Sporophila castaneiventris,39,Sporophila castaneiventris,20
Sporophila cinnamomea,24,Sporophila cinnamomea,33
Sporophila collaris,12,Sporophila collaris,34
Sporophila corvina,76,Sporophila corvina,5
Sporophila crassirostris,49,Sporophila crassirostris,7
Sporophila falcirostris,37,Sporophila falcirostris,5
Sporophila fringilloides,25,Sporophila fringilloides,11
Sporophila frontalis,53,Sporophila frontalis,1
Sporophila funerea,98,Sporophila funerea,7
Sporophila hypochroma,5,Sporophila hypochroma,19
Sporophila hypoxantha,40,Sporophila hypoxantha,180
Sporophila intermedia,55,Sporophila intermedia,5
Sporophila leucoptera,26,Sporophila leucoptera,10
Sporophila lineola,162,Sporophila lineola,7
Sporophila luctuosa,64,Sporophila luctuosa,4
Sporophila maximiliani,3,Sporophila maximiliani,15
Sporophila melanogaster,10,Sporophila melanogaster,50
Sporophila minuta,132,Sporophila minuta,54
Sporophila morelleti,205,Sporophila morelleti,0
Sporophila murallae,9,Sporophila murallae,0
Sporophila nigricollis,192,Sporophila nigricollis,21
Sporophila nigrorufa,7,Sporophila nigrorufa,1
Sporophila nuttingi,16,Sporophila nuttingi,1
Sporophila palustris,22,Sporophila palustris,74
Sporophila peruviana,26,Sporophila peruviana,2
Sporophila pileata,10,Sporophila pileata,34
Sporophila plumbea,46,Sporophila plumbea,11
Sporophila ruficollis,34,Sporophila ruficollis,59
Sporophila schistacea,89,Sporophila schistacea,7
Sporophila simplex,15,Sporophila simplex,2
Sporophila telasco,35,Sporophila telasco,4
Sporophila torqueola,40,Sporophila torqueola,10
Sporopipes frontalis,9,Sporopipes frontalis,9
Sporopipes squamifrons,2,Sporopipes squamifrons,7
Stachyris grammiceps,0,Stachyris grammiceps,6
Stachyris herberti,0,Stachyris herberti,0
Stachyris humei,13,Stachyris humei,14
Stachyris leucotis,3,Stachyris leucotis,11
Stachyris maculata,68,Stachyris maculata,21
Stachyris nigriceps,83,Stachyris nigriceps,85
Stachyris nigricollis,37,Stachyris nigricollis,16
Stachyris nonggangensis,0,Stachyris nonggangensis,7
Stachyris oglei,4,Stachyris oglei,8
Stachyris poliocephala,20,Stachyris poliocephala,40
Stachyris roberti,5,Stachyris roberti,0
Stachyris strialata,31,Stachyris strialata,22
Stachyris thoracica,10,Stachyris thoracica,3
Stactolaema anchietae,14,Stactolaema anchietae,2
Stactolaema leucotis,14,Stactolaema leucotis,4
Stactolaema olivacea,49,Stactolaema olivacea,5
Stactolaema whytii,7,Stactolaema whytii,2
Stagonopleura bella,16,Stagonopleura bella,0
Stagonopleura guttata,15,Stagonopleura guttata,8
Stagonopleura oculata,5,Stagonopleura oculata,0
Starnoenas cyanocephala,5,Starnoenas cyanocephala,0
Steatornis caripensis,795,Steatornis caripensis,139
Stelgidillas gracilirostris,23,Stelgidillas gracilirostris,6
Stelgidopteryx ruficollis,62,Stelgidopteryx ruficollis,10
Stelgidopteryx serripennis,418,Stelgidopteryx serripennis,25
Stenostira scita,13,Stenostira scita,13
Stephanoaetus coronatus,40,Stephanoaetus coronatus,17
Stephanophorus diadematus,53,Stephanophorus diadematus,7
Stephanoxis lalandi,25,Stephanoxis lalandi,9
Stephanoxis loddigesii,26,Stephanoxis loddigesii,0
Stercorarius antarcticus,20,Stercorarius antarcticus,37
Stercorarius chilensis,4,Stercorarius chilensis,10
Stercorarius longicaudus,57,Stercorarius longicaudus,67
Stercorarius maccormicki,15,Stercorarius maccormicki,32
Stercorarius parasiticus,43,Stercorarius parasiticus,93
Stercorarius pomarinus,35,Stercorarius pomarinus,67
Stercorarius skua,14,Stercorarius skua,42
Sterna acuticauda,3,Sterna acuticauda,0
Sterna aurantia,81,Sterna aurantia,0
Sterna dougallii,76,Sterna dougallii,38
Sterna forsteri,235,Sterna forsteri,10
Sterna hirundinacea,26,Sterna hirundinacea,12
Sterna hirundo,325,Sterna hirundo,69
Sterna paradisaea,156,Sterna paradisaea,19
Sterna repressa,2,Sterna repressa,0
Sterna striata,15,Sterna striata,6
Sterna sumatrana,16,Sterna sumatrana,5
Sterna trudeaui,8,Sterna trudeaui,7
Sterna virgata,0,Sterna virgata,0
Sterna vittata,38,Sterna vittata,20
Sternoclyta cyanopectus,2,Sternoclyta cyanopectus,0
Sternula albifrons,97,Sternula albifrons,83
Sternula antillarum,210,Sternula antillarum,115
Sternula balaenarum,9,Sternula balaenarum,0
Sternula lorata,10,Sternula lorata,0
Sternula nereis,16,Sternula nereis,8
Sternula saundersi,8,Sternula saundersi,0
Sternula superciliaris,21,Sternula superciliaris,9
Sterrhoptilus capitalis,0,Sterrhoptilus capitalis,15
Sterrhoptilus dennistouni,1,Sterrhoptilus dennistouni,37
Sterrhoptilus nigrocapitatus,0,Sterrhoptilus nigrocapitatus,22
Stictonetta naevosa,3,Stictonetta naevosa,4
Stigmatura budytoides,77,Stigmatura budytoides,11
Stigmatura napensis,40,Stigmatura napensis,2
Stilpnia argyrofenges,2,Stilpnia argyrofenges,4
Stilpnia cayana,47,Stilpnia cayana,24
Stilpnia cucullata,5,Stilpnia cucullata,11
Stilpnia cyanicollis,32,Stilpnia cyanicollis,52
Stilpnia cyanoptera,22,Stilpnia cyanoptera,6
Stilpnia heinei,33,Stilpnia heinei,3
Stilpnia larvata,72,Stilpnia larvata,10
Stilpnia meyerdeschauenseei,5,Stilpnia meyerdeschauenseei,3
Stilpnia nigrocincta,29,Stilpnia nigrocincta,3
Stilpnia peruviana,11,Stilpnia peruviana,0
Stilpnia phillipsi,3,Stilpnia phillipsi,1
Stilpnia preciosa,17,Stilpnia preciosa,11
Stilpnia viridicollis,8,Stilpnia viridicollis,3
Stilpnia vitriolina,39,Stilpnia vitriolina,3
Stiltia isabella,4,Stiltia isabella,6
Stiphrornis erythrothorax,51,Stiphrornis erythrothorax,301
Stipiturus malachurus,46,Stipiturus malachurus,128
Stipiturus mallee,5,Stipiturus mallee,45
Stipiturus ruficeps,4,Stipiturus ruficeps,160
Stomiopera flava,5,Stomiopera flava,107
Stomiopera unicolor,4,Stomiopera unicolor,91
Strepera fuliginosa,27,Strepera fuliginosa,10
Strepera graculina,207,Strepera graculina,10
Strepera versicolor,72,Strepera versicolor,16
Streptocitta albertinae,2,Streptocitta albertinae,0
Streptocitta albicollis,13,Streptocitta albicollis,8
Streptopelia bitorquata,5,Streptopelia bitorquata,5
Streptopelia capicola,94,Streptopelia capicola,13
Streptopelia chinensis,458,Streptopelia chinensis,27
Streptopelia decaocto,898,Streptopelia decaocto,93
Streptopelia decipiens,43,Streptopelia decipiens,7
Streptopelia dusumieri,7,Streptopelia dusumieri,0
Streptopelia hypopyrrha,6,Streptopelia hypopyrrha,6
Streptopelia lugens,17,Streptopelia lugens,0
Streptopelia orientalis,65,Streptopelia orientalis,229
Streptopelia picturata,22,Streptopelia picturata,20
Streptopelia reichenowi,4,Streptopelia reichenowi,0
Streptopelia roseogrisea,25,Streptopelia roseogrisea,34
Streptopelia semitorquata,90,Streptopelia semitorquata,6
Streptopelia senegalensis,221,Streptopelia senegalensis,26
Streptopelia tranquebarica,29,Streptopelia tranquebarica,8
Streptopelia turtur,137,Streptopelia turtur,141
Streptopelia vinacea,36,Streptopelia vinacea,5
Streptoprocne biscutata,8,Streptoprocne biscutata,0
Streptoprocne phelpsi,4,Streptoprocne phelpsi,5
Streptoprocne rutila,21,Streptoprocne rutila,3
Streptoprocne semicollaris,4,Streptoprocne semicollaris,0
Streptoprocne zonaris,104,Streptoprocne zonaris,52
Stresemannia bougainvillei,0,Stresemannia bougainvillei,4
Strigops habroptila,1,Strigops habroptila,50065
Strix aluco,864,Strix aluco,443
Strix butleri,7,Strix butleri,8
Strix chacoensis,18,Strix chacoensis,0
Strix davidi,0,Strix davidi,1
Strix fulvescens,54,Strix fulvescens,2
Strix hadorami,11,Strix hadorami,1
Strix hylophila,52,Strix hylophila,1
Strix leptogrammica,134,Strix leptogrammica,7
Strix nebulosa,66,Strix nebulosa,81
Strix nivicolum,30,Strix nivicolum,4
Strix occidentalis,371,Strix occidentalis,275
Strix ocellata,178,Strix ocellata,0
Strix rufipes,45,Strix rufipes,8
Strix seloputo,18,Strix seloputo,0
Strix uralensis,41,Strix uralensis,80
Strix varia,2791,Strix varia,330
Strix woodfordii,66,Strix woodfordii,12
Struthidea cinerea,48,Struthidea cinerea,35
Struthio camelus,0,Struthio camelus,38152
Struthio molybdophanes,0,Struthio molybdophanes,0
Sturnella magna,2197,Sturnella magna,119
Sturnella neglecta,2136,Sturnella neglecta,55
Sturnia blythii,23,Sturnia blythii,0
Sturnia erythropygia,7,Sturnia erythropygia,7
Sturnia malabarica,66,Sturnia malabarica,24
Sturnia pagodarum,98,Sturnia pagodarum,19
Sturnia sinensis,21,Sturnia sinensis,10
Sturnornis albofrontatus,14,Sturnornis albofrontatus,7
Sturnus unicolor,225,Sturnus unicolor,27
Sturnus vulgaris,1286,Sturnus vulgaris,31359
Stymphalornis acutirostris,41,Stymphalornis acutirostris,244
Sublegatus arenarum,24,Sublegatus arenarum,13
Sublegatus modestus,89,Sublegatus modestus,23
Sublegatus obscurior,19,Sublegatus obscurior,11
Sugomel nigrum,26,Sugomel nigrum,4
Suiriri affinis,15,Suiriri affinis,22
Suiriri suiriri,68,Suiriri suiriri,28
Sula dactylatra,24,Sula dactylatra,223
Sula granti,6,Sula granti,28
Sula leucogaster,11,Sula leucogaster,315
Sula nebouxii,16,Sula nebouxii,411
Sula sula,35,Sula sula,277
Sula variegata,4,Sula variegata,180
Surnia ulula,63,Surnia ulula,25
Surniculus dicruroides,58,Surniculus dicruroides,0
Surniculus lugubris,113,Surniculus lugubris,8
Surniculus musschenbroeki,4,Surniculus musschenbroeki,0
Surniculus velutinus,18,Surniculus velutinus,0
Suthora fulvifrons,3,Suthora fulvifrons,40
Suthora nipalensis,9,Suthora nipalensis,32
Suthora verreauxi,31,Suthora verreauxi,74
Swynnertonia swynnertoni,8,Swynnertonia swynnertoni,7
Sylvia abyssinica,36,Sylvia abyssinica,19
Sylvia atricapilla,1165,Sylvia atricapilla,535
Sylvia atriceps,7,Sylvia atriceps,12
Sylvia balearica,12,Sylvia balearica,3
Sylvia boehmi,24,Sylvia boehmi,5
Sylvia borin,369,Sylvia borin,87
Sylvia buryi,8,Sylvia buryi,3
Sylvia cantillans,131,Sylvia cantillans,400
Sylvia communis,390,Sylvia communis,296
Sylvia conspicillata,60,Sylvia conspicillata,37
Sylvia crassirostris,30,Sylvia crassirostris,8
Sylvia curruca,379,Sylvia curruca,432
Sylvia deserti,4,Sylvia deserti,0
Sylvia deserticola,5,Sylvia deserticola,3
Sylvia dohrni,9,Sylvia dohrni,3
Sylvia hortensis,66,Sylvia hortensis,4
Sylvia layardi,15,Sylvia layardi,5
Sylvia leucomelaena,13,Sylvia leucomelaena,1
Sylvia lugens,7,Sylvia lugens,3
Sylvia melanocephala,374,Sylvia melanocephala,68
Sylvia melanothorax,10,Sylvia melanothorax,10
Sylvia mystacea,16,Sylvia mystacea,8
Sylvia nana,11,Sylvia nana,42
Sylvia nigricapillus,9,Sylvia nigricapillus,14
Sylvia nisoria,64,Sylvia nisoria,19
Sylvia ruppeli,17,Sylvia ruppeli,5
Sylvia sarda,10,Sylvia sarda,15
Sylvia subalpina,14,Sylvia subalpina,168
Sylvia subcoerulea,35,Sylvia subcoerulea,11
Sylvia undata,114,Sylvia undata,41
Sylvietta brachyura,19,Sylvietta brachyura,19
Sylvietta denti,1,Sylvietta denti,8
Sylvietta isabellina,0,Sylvietta isabellina,6
Sylvietta leucophrys,5,Sylvietta leucophrys,15
Sylvietta philippae,0,Sylvietta philippae,2
Sylvietta rufescens,38,Sylvietta rufescens,47
Sylvietta ruficapilla,8,Sylvietta ruficapilla,8
Sylvietta virens,37,Sylvietta virens,54
Sylvietta whytii,42,Sylvietta whytii,32
Sylviorthorhynchus desmursii,91,Sylviorthorhynchus desmursii,20
Sylviorthorhynchus yanacensis,24,Sylviorthorhynchus yanacensis,9
Sylviparus modestus,13,Sylviparus modestus,101
Syma megarhyncha,17,Syma megarhyncha,9
Syma torotoro,27,Syma torotoro,13
Symposiachrus axillaris,11,Symposiachrus axillaris,17
Symposiachrus barbatus,9,Symposiachrus barbatus,43
Symposiachrus boanensis,0,Symposiachrus boanensis,7
Symposiachrus brehmii,0,Symposiachrus brehmii,0
Symposiachrus browni,4,Symposiachrus browni,42
Symposiachrus everetti,0,Symposiachrus everetti,2
Symposiachrus guttula,6,Symposiachrus guttula,24
Symposiachrus infelix,0,Symposiachrus infelix,14
Symposiachrus julianae,0,Symposiachrus julianae,0
Symposiachrus leucurus,0,Symposiachrus leucurus,6
Symposiachrus loricatus,0,Symposiachrus loricatus,4
Symposiachrus manadensis,1,Symposiachrus manadensis,14
Symposiachrus menckei,1,Symposiachrus menckei,1
Symposiachrus mundus,1,Symposiachrus mundus,2
Symposiachrus rubiensis,0,Symposiachrus rubiensis,2
Symposiachrus sacerdotum,3,Symposiachrus sacerdotum,0
Symposiachrus trivirgatus,53,Symposiachrus trivirgatus,31
Symposiachrus verticalis,0,Symposiachrus verticalis,35
Symposiachrus vidua,5,Symposiachrus vidua,21
Synallaxis albescens,346,Synallaxis albescens,38
Synallaxis albigularis,123,Synallaxis albigularis,3
Synallaxis albilora,47,Synallaxis albilora,3
Synallaxis azarae,495,Synallaxis azarae,14
Synallaxis beverlyae,7,Synallaxis beverlyae,0
Synallaxis brachyura,125,Synallaxis brachyura,16
Synallaxis cabanisi,56,Synallaxis cabanisi,11
Synallaxis candei,42,Synallaxis candei,14
Synallaxis castanea,33,Synallaxis castanea,3
Synallaxis cherriei,63,Synallaxis cherriei,3
Synallaxis cinerascens,119,Synallaxis cinerascens,8
Synallaxis cinerea,46,Synallaxis cinerea,98
Synallaxis cinnamomea,116,Synallaxis cinnamomea,7
Synallaxis courseni,13,Synallaxis courseni,3
Synallaxis erythrothorax,113,Synallaxis erythrothorax,8
Synallaxis frontalis,292,Synallaxis frontalis,20
Synallaxis fuscorufa,51,Synallaxis fuscorufa,0
Synallaxis gujanensis,207,Synallaxis gujanensis,16
Synallaxis hellmayri,31,Synallaxis hellmayri,12
Synallaxis hypochondriaca,15,Synallaxis hypochondriaca,16
Synallaxis hypospodia,89,Synallaxis hypospodia,3
Synallaxis infuscata,16,Synallaxis infuscata,29
Synallaxis kollari,13,Synallaxis kollari,5
Synallaxis macconnelli,32,Synallaxis macconnelli,20
Synallaxis maranonica,25,Synallaxis maranonica,3
Synallaxis moesta,32,Synallaxis moesta,10
Synallaxis ruficapilla,184,Synallaxis ruficapilla,473
Synallaxis rutilans,119,Synallaxis rutilans,31
Synallaxis scutata,89,Synallaxis scutata,21
Synallaxis spixi,191,Synallaxis spixi,22
Synallaxis stictothorax,78,Synallaxis stictothorax,16
Synallaxis subpudica,50,Synallaxis subpudica,3
Synallaxis tithys,33,Synallaxis tithys,11
Synallaxis unirufa,185,Synallaxis unirufa,6
Synallaxis zimmeri,6,Synallaxis zimmeri,3
Syndactyla dimidiata,10,Syndactyla dimidiata,16
Syndactyla guttulata,40,Syndactyla guttulata,4
Syndactyla roraimae,24,Syndactyla roraimae,12
Syndactyla ruficollis,30,Syndactyla ruficollis,4
Syndactyla rufosuperciliata,225,Syndactyla rufosuperciliata,244
Syndactyla striata,20,Syndactyla striata,4
Syndactyla subalaris,165,Syndactyla subalaris,15
Syndactyla ucayalae,62,Syndactyla ucayalae,14
Synoicus adansonii,0,Synoicus adansonii,0
Synoicus chinensis,24,Synoicus chinensis,2007
Synoicus ypsilophorus,51,Synoicus ypsilophorus,35
Synthliboramphus antiquus,7,Synthliboramphus antiquus,23
Synthliboramphus craveri,10,Synthliboramphus craveri,18
Synthliboramphus hypoleucus,1,Synthliboramphus hypoleucus,83
Synthliboramphus scrippsi,13,Synthliboramphus scrippsi,0
Synthliboramphus wumizusume,1,Synthliboramphus wumizusume,17
Sypheotides indicus,5,Sypheotides indicus,0
Syrigma sibilatrix,33,Syrigma sibilatrix,6
Syrmaticus ellioti,0,Syrmaticus ellioti,62
Syrmaticus humiae,2,Syrmaticus humiae,93
Syrmaticus mikado,8,Syrmaticus mikado,16
Syrmaticus reevesii,2,Syrmaticus reevesii,142
Syrmaticus soemmerringii,0,Syrmaticus soemmerringii,11
Syrrhaptes paradoxus,2,Syrrhaptes paradoxus,57
Syrrhaptes tibetanus,3,Syrrhaptes tibetanus,0
Systellura decussata,13,Systellura decussata,43
Systellura longirostris,159,Systellura longirostris,113
Taccocua leschenaultii,22,Taccocua leschenaultii,0
Tachornis furcata,1,Tachornis furcata,0
Tachornis phoenicobia,20,Tachornis phoenicobia,2
Tachornis squamata,16,Tachornis squamata,5
Tachuris rubrigastra,70,Tachuris rubrigastra,10
Tachybaptus dominicus,126,Tachybaptus dominicus,1
Tachybaptus novaehollandiae,37,Tachybaptus novaehollandiae,19
Tachybaptus pelzelnii,4,Tachybaptus pelzelnii,0
Tachybaptus ruficollis,349,Tachybaptus ruficollis,75
Tachybaptus rufolavatus,0,Tachybaptus rufolavatus,0
Tachycineta albilinea,32,Tachycineta albilinea,102
Tachycineta albiventer,33,Tachycineta albiventer,74
Tachycineta bicolor,965,Tachycineta bicolor,291
Tachycineta cyaneoviridis,7,Tachycineta cyaneoviridis,71
Tachycineta euchrysea,26,Tachycineta euchrysea,56
Tachycineta leucopyga,39,Tachycineta leucopyga,82
Tachycineta leucorrhoa,25,Tachycineta leucorrhoa,109
Tachycineta stolzmanni,3,Tachycineta stolzmanni,40
Tachycineta thalassina,291,Tachycineta thalassina,96
Tachyeres brachypterus,9,Tachyeres brachypterus,58
Tachyeres leucocephalus,13,Tachyeres leucocephalus,42
Tachyeres patachonicus,17,Tachyeres patachonicus,53
Tachyeres pteneres,9,Tachyeres pteneres,31
Tachyphonus coronatus,105,Tachyphonus coronatus,68
Tachyphonus cristatus,26,Tachyphonus cristatus,16
Tachyphonus delatrii,49,Tachyphonus delatrii,16
Tachyphonus luctuosus,61,Tachyphonus luctuosus,13
Tachyphonus phoenicius,20,Tachyphonus phoenicius,6
Tachyphonus rufiventer,5,Tachyphonus rufiventer,9
Tachyphonus rufus,65,Tachyphonus rufus,18
Tachyphonus surinamus,44,Tachyphonus surinamus,37
Tadorna cana,5,Tadorna cana,4
Tadorna cristata,0,Tadorna cristata,0
Tadorna ferruginea,111,Tadorna ferruginea,23
Tadorna tadorna,52,Tadorna tadorna,41
Tadorna tadornoides,31,Tadorna tadornoides,7
Tadorna variegata,33,Tadorna variegata,6
Taeniopygia bichenovii,36,Taeniopygia bichenovii,110
Taeniopygia guttata,34,Taeniopygia guttata,150323
Taeniotriccus andrei,20,Taeniotriccus andrei,7
Talegalla cuvieri,0,Talegalla cuvieri,1
Talegalla fuscirostris,11,Talegalla fuscirostris,28
Talegalla jobiensis,11,Talegalla jobiensis,22
Tangara arthus,53,Tangara arthus,5
Tangara callophrys,6,Tangara callophrys,3
Tangara chilensis,101,Tangara chilensis,7
Tangara chrysotis,4,Tangara chrysotis,3
Tangara cyanocephala,18,Tangara cyanocephala,39
Tangara cyanotis,9,Tangara cyanotis,3
Tangara cyanoventris,31,Tangara cyanoventris,6
Tangara desmaresti,19,Tangara desmaresti,5
Tangara dowii,20,Tangara dowii,11
Tangara fastuosa,4,Tangara fastuosa,5
Tangara florida,12,Tangara florida,6
Tangara fucosa,1,Tangara fucosa,3
Tangara gyrola,60,Tangara gyrola,107
Tangara icterocephala,44,Tangara icterocephala,7
Tangara inornata,22,Tangara inornata,9
Tangara johannae,4,Tangara johannae,3
Tangara labradorides,16,Tangara labradorides,5
Tangara lavinia,14,Tangara lavinia,7
Tangara mexicana,35,Tangara mexicana,16
Tangara nigroviridis,23,Tangara nigroviridis,38
Tangara parzudakii,17,Tangara parzudakii,3
Tangara rufigenis,2,Tangara rufigenis,1
Tangara schrankii,29,Tangara schrankii,5
Tangara seledon,24,Tangara seledon,9
Tangara vassorii,39,Tangara vassorii,35
Tangara velia,34,Tangara velia,9
Tangara xanthocephala,15,Tangara xanthocephala,3
Tanygnathus gramineus,3,Tanygnathus gramineus,0
Tanygnathus lucionensis,9,Tanygnathus lucionensis,11
Tanygnathus megalorynchos,11,Tanygnathus megalorynchos,11
Tanygnathus sumatranus,15,Tanygnathus sumatranus,8
Tanysiptera carolinae,2,Tanysiptera carolinae,1
Tanysiptera danae,5,Tanysiptera danae,1
Tanysiptera ellioti,1,Tanysiptera ellioti,0
Tanysiptera galatea,21,Tanysiptera galatea,8
Tanysiptera hydrocharis,0,Tanysiptera hydrocharis,6
Tanysiptera nigriceps,0,Tanysiptera nigriceps,3
Tanysiptera nympha,2,Tanysiptera nympha,1
Tanysiptera riedelii,4,Tanysiptera riedelii,1
Tanysiptera sylvia,14,Tanysiptera sylvia,7
Taoniscus nanus,2,Taoniscus nanus,0
Tapera naevia,470,Tapera naevia,29
Taphrolesbia griseiventris,9,Taphrolesbia griseiventris,6
Taphrospilus hypostictus,6,Taphrospilus hypostictus,6
Taraba major,451,Taraba major,37
Tarphonomus certhioides,116,Tarphonomus certhioides,20
Tarphonomus harterti,20,Tarphonomus harterti,14
Tarsiger chrysaeus,29,Tarsiger chrysaeus,11
Tarsiger cyanurus,72,Tarsiger cyanurus,173
Tarsiger hyperythrus,1,Tarsiger hyperythrus,5
Tarsiger indicus,31,Tarsiger indicus,7
Tarsiger johnstoniae,40,Tarsiger johnstoniae,4
Tarsiger rufilatus,29,Tarsiger rufilatus,127
Tauraco bannermani,0,Tauraco bannermani,6
Tauraco corythaix,23,Tauraco corythaix,22
Tauraco erythrolophus,1,Tauraco erythrolophus,77376
Tauraco fischeri,9,Tauraco fischeri,17
Tauraco hartlaubi,29,Tauraco hartlaubi,71
Tauraco leucolophus,7,Tauraco leucolophus,22
Tauraco leucotis,12,Tauraco leucotis,26
Tauraco livingstonii,33,Tauraco livingstonii,38
Tauraco macrorhynchus,33,Tauraco macrorhynchus,44
Tauraco persa,12,Tauraco persa,59
Tauraco porphyreolophus,36,Tauraco porphyreolophus,36
Tauraco ruspolii,2,Tauraco ruspolii,4
Tauraco schalowi,21,Tauraco schalowi,39
Tauraco schuettii,12,Tauraco schuettii,38
Tchagra australis,45,Tchagra australis,20
Tchagra jamesi,3,Tchagra jamesi,0
Tchagra minutus,9,Tchagra minutus,11
Tchagra senegalus,108,Tchagra senegalus,13
Tchagra tchagra,6,Tchagra tchagra,0
Telacanthura melanopygia,0,Telacanthura melanopygia,0
Telacanthura ussheri,2,Telacanthura ussheri,0
Teledromas fuscus,25,Teledromas fuscus,5
Telespiza cantans,2,Telespiza cantans,36
Telespiza ultima,3,Telespiza ultima,15
Telophorus bocagei,8,Telophorus bocagei,4
Telophorus dohertyi,27,Telophorus dohertyi,20
Telophorus kupeensis,1,Telophorus kupeensis,0
Telophorus multicolor,6,Telophorus multicolor,0
Telophorus nigrifrons,33,Telophorus nigrifrons,13
Telophorus olivaceus,56,Telophorus olivaceus,0
Telophorus sulfureopectus,80,Telophorus sulfureopectus,25
Telophorus viridis,47,Telophorus viridis,0
Telophorus zeylonus,36,Telophorus zeylonus,12
Temnurus temnurus,4,Temnurus temnurus,3
Tephrodornis affinis,2,Tephrodornis affinis,0
Tephrodornis pondicerianus,80,Tephrodornis pondicerianus,16
Tephrodornis sylvicola,43,Tephrodornis sylvicola,0
Tephrodornis virgatus,38,Tephrodornis virgatus,15
Tephrozosterops stalkeri,0,Tephrozosterops stalkeri,1
Terathopius ecaudatus,3,Terathopius ecaudatus,10
Terenotriccus erythrurus,74,Terenotriccus erythrurus,32
Terenura maculata,61,Terenura maculata,16
Terenura sicki,22,Terenura sicki,0
Teretistris fernandinae,15,Teretistris fernandinae,14
Teretistris fornsi,29,Teretistris fornsi,0
Terpsiphone affinis,15,Terpsiphone affinis,32
Terpsiphone atrocaudata,15,Terpsiphone atrocaudata,42
Terpsiphone atrochalybeia,0,Terpsiphone atrochalybeia,7
Terpsiphone batesi,0,Terpsiphone batesi,25
Terpsiphone bedfordi,0,Terpsiphone bedfordi,12
Terpsiphone bourbonnensis,49,Terpsiphone bourbonnensis,6
Terpsiphone cinnamomea,15,Terpsiphone cinnamomea,27
Terpsiphone corvina,1,Terpsiphone corvina,248
Terpsiphone cyanescens,1,Terpsiphone cyanescens,18
Terpsiphone incei,5,Terpsiphone incei,6
Terpsiphone mutata,50,Terpsiphone mutata,32
Terpsiphone paradisi,185,Terpsiphone paradisi,58
Terpsiphone rufiventer,62,Terpsiphone rufiventer,60
Terpsiphone rufocinerea,1,Terpsiphone rufocinerea,13
Terpsiphone viridis,78,Terpsiphone viridis,109
Tersina viridis,77,Tersina viridis,37
Tesia cyaniventer,114,Tesia cyaniventer,5
Tesia everetti,6,Tesia everetti,8
Tesia olivea,76,Tesia olivea,18
Tesia superciliaris,17,Tesia superciliaris,4
Tetrao mlokosiewiczi,0,Tetrao mlokosiewiczi,41
Tetrao tetrix,41,Tetrao tetrix,291
Tetrao urogalloides,0,Tetrao urogalloides,52
Tetrao urogallus,18,Tetrao urogallus,371
Tetraogallus altaicus,1,Tetraogallus altaicus,13
Tetraogallus caspius,11,Tetraogallus caspius,2
Tetraogallus caucasicus,8,Tetraogallus caucasicus,0
Tetraogallus himalayensis,14,Tetraogallus himalayensis,112
Tetraogallus tibetanus,7,Tetraogallus tibetanus,83
Tetraophasis obscurus,5,Tetraophasis obscurus,17
Tetraophasis szechenyii,5,Tetraophasis szechenyii,157
Tetrastes bonasia,24,Tetrastes bonasia,140
Tetrastes sewerzowi,1,Tetrastes sewerzowi,37
Tetrax tetrax,27,Tetrax tetrax,14
Thalassarche bulleri,3,Thalassarche bulleri,182
Thalassarche cauta,7,Thalassarche cauta,59
Thalassarche chlororhynchos,13,Thalassarche chlororhynchos,5
Thalassarche chrysostoma,3,Thalassarche chrysostoma,66
Thalassarche eremita,0,Thalassarche eremita,3
Thalassarche melanophris,18,Thalassarche melanophris,79
Thalassarche salvini,9,Thalassarche salvini,3
Thalasseus bengalensis,7,Thalasseus bengalensis,84
Thalasseus bergii,47,Thalasseus bergii,45
Thalasseus bernsteini,0,Thalasseus bernsteini,24
Thalasseus elegans,176,Thalasseus elegans,131
Thalasseus maximus,218,Thalasseus maximus,39
Thalasseus sandvicensis,119,Thalasseus sandvicensis,187
Thalassoica antarctica,1,Thalassoica antarctica,13
Thalassornis leuconotus,0,Thalassornis leuconotus,3
Thalurania colombica,25,Thalurania colombica,32
Thalurania furcata,40,Thalurania furcata,184
Thalurania glaucopis,35,Thalurania glaucopis,38
Thalurania ridgwayi,5,Thalurania ridgwayi,14
Thalurania watertonii,2,Thalurania watertonii,12
Thamnistes anabatinus,67,Thamnistes anabatinus,13
Thamnistes rufescens,9,Thamnistes rufescens,0
Thamnolaea cinnamomeiventris,30,Thamnolaea cinnamomeiventris,21
Thamnolaea semirufa,1,Thamnolaea semirufa,5
