GenBankID,GB_Nucleotide_Seqs,GenBank_Name,GenBank_Group,EBirdClements_Names,Ebird_Group,Clements_Order,Clements_Family,Reconciliation,IUCN_Status
1763891,0,Aegithina_lafresnayei,species,Aegithina_lafresnayei,species,Passeriformes,Aegithinidae (Ioras),,Least Concern
2292720,0,Aegithina_nigrolutea,species,Aegithina_nigrolutea,species,Passeriformes,Aegithinidae (Ioras),,Least Concern
175021,40,Aegithina_tiphia,species,Aegithina_tiphia,species,Passeriformes,Aegithinidae (Ioras),,Least Concern
2478747,4,Aegithina_viridissima,species,Aegithina_viridissima,species,Passeriformes,Aegithinidae (Ioras),,Near Threatened
56265,60,Aegolius_acadicus,species,Aegolius_acadicus,species,Strigiformes,Strigidae (Owls),,Least Concern
103375,108,Aegolius_funereus,species,Aegolius_funereus,species,Strigiformes,Strigidae (Owls),,Least Concern
N/A,N/A,N/A,N/A,Aegolius_gradyi,species,Strigiformes,Strigidae (Owls),,Extinct
126850,2,Aegolius_harrisii,species,Aegolius_harrisii,species,Strigiformes,Strigidae (Owls),,Least Concern
N/A,N/A,N/A,N/A,Aegolius_ridgwayi,species,Strigiformes,Strigidae (Owls),,Least Concern
191484,4,Aegotheles_bennettii_affinis,subspecies,Aegotheles_affinis,species,Caprimulgiformes,Aegothelidae (Owlet-nightjars),split,Data Deficient
48277,8,Aegotheles_albertisi,species,Aegotheles_albertisi,species,Caprimulgiformes,Aegothelidae (Owlet-nightjars),,Least Concern
191442,8,Aegotheles_archboldi,species,Aegotheles_archboldi,species,Caprimulgiformes,Aegothelidae (Owlet-nightjars),,Least Concern
48278,3,Aegotheles_bennettii,species,Aegotheles_bennettii,species,Caprimulgiformes,Aegothelidae (Owlet-nightjars),,Least Concern
671283,4,Euaegotheles_crinifrons,species,Aegotheles_crinifrons,species,Caprimulgiformes,Aegothelidae (Owlet-nightjars),taxonomy,Least Concern
48279,41,Aegotheles_cristatus,species,Aegotheles_cristatus,species,Caprimulgiformes,Aegothelidae (Owlet-nightjars),,Least Concern
671282,72,Euaegotheles_insignis,species,Aegotheles_insignis,species,Caprimulgiformes,Aegothelidae (Owlet-nightjars),taxonomy,Least Concern
191491,1,Euaegotheles_insignis_pulcher,subspecies,Aegotheles_insignis,species,Caprimulgiformes,Aegothelidae (Owlet-nightjars),split,Least Concern
191447,2,Aegotheles_novaezealandiae,species,Aegotheles_novaezealandiae,species,Caprimulgiformes,Aegothelidae (Owlet-nightjars),,NoBLIname
191444,2,Aegotheles_savesi,species,Aegotheles_savesi,species,Caprimulgiformes,Aegothelidae (Owlet-nightjars),,Critically Endangered
671284,4,Euaegotheles_tatei,species,Aegotheles_tatei,species,Caprimulgiformes,Aegothelidae (Owlet-nightjars),taxonomy,Data Deficient
191441,4,Aegotheles_wallacii,species,Aegotheles_wallacii,species,Caprimulgiformes,Aegothelidae (Owlet-nightjars),,Least Concern
8959,65,Aegypius_monachus,species,Aegypius_monachus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Near Threatened
1503129,1,Aepyornis_hildebrandti,species,Aepyornis_hildebrandti,species,Aepyornithiformes,Aepyornithidae,,NoBLIname
748142,2,Aepyornis_maximus,species,Aepyornis_maximus,species,Aepyornithiformes,Aepyornithidae,,NoBLIname
30401,21,Aepypodius_arfakianus,species,Aepypodius_arfakianus,species,Galliformes,Megapodiidae (Megapodes),,Least Concern
1517985,10,Aepypodius_bruijnii,species,Aepypodius_bruijnii,species,Galliformes,Megapodiidae (Megapodes),,Endangered
N/A,N/A,N/A,N/A,Aerodramus_amelis,species,Caprimulgiformes,Apodidae (Swifts),,NoBLIname
46475,4,Aerodramus_bartschi,species,Aerodramus_bartschi,species,Caprimulgiformes,Apodidae (Swifts),,Endangered
46488,24,Aerodramus_brevirostris,species,Aerodramus_brevirostris,species,Caprimulgiformes,Apodidae (Swifts),,Least Concern
N/A,N/A,N/A,N/A,Aerodramus_ceramensis,species,Caprimulgiformes,Apodidae (Swifts),,NoBLIname
